Province,Subregion,Species,ModelName,ParName,ParVal,Reference
BC,CWH,TSUGHET,Kozak94,A6,-76.5239,Kozak94
BC,CWH,THUJPLI,Kozak94,A7,-35.9236,Kozak94
BC,CWH,ALNURUB,Kozak94,A7,-80.6876,Kozak94
BC,CWH,PSEUMEN,Kozak94,A7,-47.3302,Kozak94
BC,CWH,TSUGHET,Kozak94,A7,-41.2654,Kozak94
BC,CWH,THUJPLI,Kozak94,A8,-0.622549,Kozak94
BC,CWH,ALNURUB,Kozak94,A8,-0.513819,Kozak94
BC,CWH,PSEUMEN,Kozak94,A8,-0.259553,Kozak94
BC,CWH,TSUGHET,Kozak94,A8,-0.316966,Kozak94
BC,CWH,THUJPLI,Kozak94,A9,0.0004616,Kozak94
BC,CWH,ALNURUB,Kozak94,A9,-0.0054148,Kozak94
BC,CWH,PSEUMEN,Kozak94,A9,0.0006013,Kozak94
BC,CWH,TSUGHET,Kozak94,A9,-0.0009186,Kozak94
BC,CWH,THUJPLI,Kozak94,ER,0.017432,Kozak94
BC,CWH,ALNURUB,Kozak94,ER,0.016066,Kozak94
BC,CWH,PSEUMEN,Kozak94,ER,0.012128,Kozak94
BC,CWH,TSUGHET,Kozak94,ER,0.018791,Kozak94
ON,ALL,PINUBAN,Honer,b2a,0.151,Honer83
ON,ALL,PINUBAN,Honer,c1,0.71,Honer83
ON,ALL,PINUBAN,Honer,c2,355.623,Honer83
ON,ALL,PINUBAN,Honer,b2b,0.151,Honer83
ON,ALL,PINUBAN,Honer,r1,0.964,Honer83
ON,ALL,PINUBAN,Honer,r2,-0.15,Honer83
ON,ALL,PINUBAN,Honer,r3,-0.808,Honer83
ON,ALL,PINURES,Honer,b2a,0.151,Honer83
ON,ALL,PINURES,Honer,c1,0.71,Honer83
ON,ALL,PINURES,Honer,c2,355.623,Honer83
ON,ALL,PINURES,Honer,b2b,0.151,Honer83
ON,ALL,PINURES,Honer,r1,0.9672,Honer83
ON,ALL,PINURES,Honer,r2,-0.0393,Honer83
ON,ALL,PINURES,Honer,r3,-1.0523,Honer83
ON,ALL,PICEMAR,Honer,b2a,0.164,Honer83
ON,ALL,PICEMAR,Honer,c1,1.588,Honer83
ON,ALL,PICEMAR,Honer,c2,333.364,Honer83
ON,ALL,PICEMAR,Honer,b2b,0.164,Honer83
