juris_id,ecozone,canfi_genus,genus,prop1,prop2,prop3,prop4,prop5,v1,v2,v3,v4
NU,8,122,JUGL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,123,ALNU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,124,OSTR,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,125,CARP,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,126,FAGU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,127,QUER,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,128,ULMU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,129,MORU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,130,LIRI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,131,MAGN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,132,SASS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,133,PLAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,134,PRUN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,135,GLED,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,136,ROBI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,137,TILI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,138,NYSS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,139,CORN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,140,ARBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,141,FRAX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,142,SALI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,143,GYMN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,144,CELT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,145,AMEL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,146,CORY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,147,CRAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,148,ILEX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,149,MALU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
