juris_id, ecozone,canfi_spec,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,10,1205,POPU,DEL,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1214,POPU,AGU,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1303,BETU,PAP,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,1404,ACER,NEG,,-1.942214,-0.001215,0.0205737,-1.51729,0.0006041,0.0471622,-2.024583,-0.0035157,-0.1032072,5790
AB,10,1550,GENH,SPP,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,3500,SALI,SPP,,-1.749271,-0.0011443,-0.0385082,-2.368783,0.0003223,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,10,3508,SALI,DIS,,-1.749271,-0.0011443,-0.0385082,-2.368783,0.0003223,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,14,100,PICE,SPP,,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,101,PICE,MAR,,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,14,104,PICE,ENG,,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,104,PICE,ENG,GLA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,105,PICE,GLA,,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,109,PICE,SPP,,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,200,PINU,SPP,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,201,PINU,MON,,-0.5118219,0.0009205,-0.3217572,2.019649,0.0022129,-0.7684928,2.662205,0.0026659,-1.021211,104
AB,14,203,PINU,BAN,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,204,PINU,CON,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,204,PINU,CON,LAT,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,206,PINU,ALB,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,213,PINU,FLE,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
