"species","model","parameter","estimate","stderr"
"QUER.RUB","DBH","bfoliage1",0.0373,NA
"QUER.RUB","DBH","bfoliage2",1.674,NA
"PINU.RES","DBH","bwood1",0.0564,NA
"PINU.RES","DBH","bwood2",2.4465,NA
"PINU.RES","DBH","bbark1",0.0188,NA
"PINU.RES","DBH","bbark2",2.0527,NA
"PINU.RES","DBH","bbranches1",0.0033,NA
"PINU.RES","DBH","bbranches2",2.7515,NA
"PINU.RES","DBH","bfoliage1",0.0212,NA
"PINU.RES","DBH","bfoliage2",2.069,NA
"PICE.RUB","DBH","bwood1",0.0989,NA
"PICE.RUB","DBH","bwood2",2.2814,NA
"PICE.RUB","DBH","bbark1",0.022,NA
"PICE.RUB","DBH","bbark2",2.0908,NA
"PICE.RUB","DBH","bbranches1",5e-04,NA
"PICE.RUB","DBH","bbranches2",3.275,NA
"PICE.RUB","DBH","bfoliage1",0.0066,NA
"PICE.RUB","DBH","bfoliage2",2.4213,NA
"ACER.SAC","DBH","bwood1",0.2324,NA
"ACER.SAC","DBH","bwood2",2.1,NA
"ACER.SAC","DBH","bbark1",0.0278,NA
"ACER.SAC","DBH","bbark2",2.0433,NA
"ACER.SAC","DBH","bbranches1",0.0028,NA
"ACER.SAC","DBH","bbranches2",3.102,NA
"ACER.SAC","DBH","bfoliage1",0.143,NA
"ACER.SAC","DBH","bfoliage2",1.258,NA
"ACER.SAH","DBH","bwood1",0.1315,NA
"ACER.SAH","DBH","bwood2",2.3129,NA
"ACER.SAH","DBH","bbark1",0.0631,NA
"ACER.SAH","DBH","bbark2",1.9241,NA
"ACER.SAH","DBH","bbranches1",0.033,NA
"ACER.SAH","DBH","bbranches2",2.3741,NA
"ACER.SAH","DBH","bfoliage1",0.0393,NA
"ACER.SAH","DBH","bfoliage2",1.693,NA
"LARI.LAR","DBH","bwood1",0.0625,NA
"LARI.LAR","DBH","bwood2",2.4475,NA
"LARI.LAR","DBH","bbark1",0.0174,NA
"LARI.LAR","DBH","bbark2",2.1109,NA
"LARI.LAR","DBH","bbranches1",0.0196,NA
"LARI.LAR","DBH","bbranches2",2.2652,NA
"LARI.LAR","DBH","bfoliage1",0.0801,NA
"LARI.LAR","DBH","bfoliage2",1.4875,NA
"POPU.TRE","DBH","bwood1",0.0608,0.0029
"POPU.TRE","DBH","bwood2",2.4735,0.0153
"POPU.TRE","DBH","bbark1",0.0159,6e-04
"POPU.TRE","DBH","bbark2",2.4123,0.0131
"POPU.TRE","DBH","bbranches1",0.0082,8e-04
"POPU.TRE","DBH","bbranches2",2.5139,0.0327
"POPU.TRE","DBH","bfoliage1",0.0235,0.0032
"POPU.TRE","DBH","bfoliage2",1.6656,0.044
"FRAX.AME","DBH","bwood1",0.1861,NA
"FRAX.AME","DBH","bwood2",2.1665,NA
"FRAX.AME","DBH","bbark1",0.0406,NA
"FRAX.AME","DBH","bbark2",1.9946,NA
"FRAX.AME","DBH","bbranches1",0.0461,NA
"FRAX.AME","DBH","bbranches2",2.2291,NA
"FRAX.AME","DBH","bfoliage1",0.1106,NA
"FRAX.AME","DBH","bfoliage2",1.2277,NA
"BETU.PAP","DBH","bwood1",0.0604,0.0016
"BETU.PAP","DBH","bwood2",2.4959,0.009
"BETU.PAP","DBH","bbark1",0.014,8e-04
"BETU.PAP","DBH","bbark2",2.3923,0.0195
"BETU.PAP","DBH","bbranches1",0.0147,9e-04
"BETU.PAP","DBH","bbranches2",2.5227,0.0217
"BETU.PAP","DBH","bfoliage1",0.0591,0.0026
"BETU.PAP","DBH","bfoliage2",1.6036,0.0167
"ULMU.AME","DBH","bwood1",0.0402,NA
"ULMU.AME","DBH","bwood2",2.5804,NA
"ULMU.AME","DBH","bbark1",0.0073,NA
"ULMU.AME","DBH","bbark2",2.4859,NA
"ULMU.AME","DBH","bbranches1",0.0401,NA
"ULMU.AME","DBH","bbranches2",2.1826,NA
"ULMU.AME","DBH","bfoliage1",0.075,NA
"ULMU.AME","DBH","bfoliage2",1.3436,NA
"QUER.ALB","DBH","bwood1",0.0762,NA
"QUER.ALB","DBH","bwood2",2.3335,NA
"QUER.ALB","DBH","bbark1",0.0338,NA
"QUER.ALB","DBH","bbark2",1.9845,NA
"QUER.ALB","DBH","bbranches1",0.0113,NA
"QUER.ALB","DBH","bbranches2",2.6211,NA
"QUER.ALB","DBH","bfoliage1",0.0188,NA
"QUER.ALB","DBH","bfoliage2",1.7881,NA
"PICE.GLA","DBH","bwood1",0.0334,8e-04
"PICE.GLA","DBH","bwood2",2.598,0.0086
"PICE.GLA","DBH","bbark1",0.0114,4e-04
"PICE.GLA","DBH","bbark2",2.3057,0.0115
"PICE.GLA","DBH","bbranches1",0.0302,0.0019
"PICE.GLA","DBH","bbranches2",2.0927,0.0227
"PICE.GLA","DBH","bfoliage1",0.1515,0.0079
"PICE.GLA","DBH","bfoliage2",1.5012,0.0182
"BETU.ALL","DBH","bwood1",0.1932,NA
"BETU.ALL","DBH","bwood2",2.1569,NA
"BETU.ALL","DBH","bbark1",0.0192,NA
"BETU.ALL","DBH","bbark2",2.2475,NA
"BETU.ALL","DBH","bbranches1",0.0305,NA
"BETU.ALL","DBH","bbranches2",2.4044,NA
"BETU.ALL","DBH","bfoliage1",0.1119,NA
"BETU.ALL","DBH","bfoliage2",1.3973,NA
"PSEU.MEN","DBH","bwood1",0.0204,0.0079
"PSEU.MEN","DBH","bwood2",2.6974,0.1066
"PSEU.MEN","DBH","bbark1",0.0069,0.0016
"PSEU.MEN","DBH","bbark2",2.5462,0.0698
"PSEU.MEN","DBH","bbranches1",0.0404,0.0181
"PSEU.MEN","DBH","bbranches2",2.1388,0.1334
"PSEU.MEN","DBH","bfoliage1",0.1233,0.0717
"PSEU.MEN","DBH","bfoliage2",1.6636,0.1806
"PICE.ENG","DBH","bwood1",0.0223,0.0033
"PICE.ENG","DBH","bwood2",2.7169,0.0455
"PICE.ENG","DBH","bbark1",0.0118,0.0016
"PICE.ENG","DBH","bbark2",2.2733,0.0391
"PICE.ENG","DBH","bbranches1",0.0336,0.0125
"PICE.ENG","DBH","bbranches2",2.2123,0.1085
"PICE.ENG","DBH","bfoliage1",0.0683,0.017
"PICE.ENG","DBH","bfoliage2",1.8022,0.0827
"ABIE.AMA","DBH","bwood1",0.0424,0.0096
"ABIE.AMA","DBH","bwood2",2.4289,0.0794
